ID,Date,Tweet Link,Negative Words,Positive Words,Attached URL,Negative Words,Positive Words
0,2022-01-24,https://twitter.com/CNN/status/1485768392124551174,1,0,https://cnn.it/33O8CVh,40,41
1,2022-01-24,https://twitter.com/CNN/status/1485764612469493762,10,3,https://cnn.it/3tWEH84,78,35
2,2022-01-24,https://twitter.com/CNN/status/1485677555629838340,3,2,https://cnn.it/3GYg5j7,21,5
3,2022-01-24,https://twitter.com/CNN/status/1485658717244858376,4,0,https://cnn.it/3qVYnXL,73,42
4,2022-01-24,https://twitter.com/CNN/status/1485643622435467271,3,3,https://cnn.it/3qUIZec,53,18
5,2022-01-24,https://twitter.com/CNN/status/1485614390384672768,2,2,https://cnn.it/3KHg0lZ,24,8
6,2022-01-22,https://twitter.com/CNN/status/1485009962472460292,3,1,https://cnn.it/3Iqekvm,68,45
7,2022-01-22,https://twitter.com/CNN/status/1484935183774146561,4,9,https://cnn.it/3GUXBjg,36,13
8,2022-01-22,https://twitter.com/CNN/status/1484935082687225860,5,1,https://cnn.it/35jdqCN,28,10
9,2022-01-22,https://twitter.com/CNN/status/1484840412581928966,3,1,https://cnn.it/357xhEF,68,45
10,2022-01-21,https://twitter.com/CNN/status/1484741291040808961,6,0,https://cnn.it/3FUpd6S,25,21
11,2022-01-21,https://twitter.com/CNN/status/1484709340309336065,6,0,https://cnn.it/3tPcyj9,36,15
12,2022-01-21,https://twitter.com/CNN/status/1484687271089553409,6,0,https://cnn.it/3GUJ47e,36,15
13,2022-01-21,https://twitter.com/CNN/status/1484674928339210245,3,4,https://cnn.it/33FYLkr,15,19
14,2022-01-21,https://twitter.com/CNN/status/1484631923540561934,3,5,https://cnn.it/3KxlQX9,66,25
15,2022-01-21,https://twitter.com/CNN/status/1484624615133659140,3,0,https://cnn.it/3GT8t19,81,44
16,2022-01-21,https://twitter.com/CNN/status/1484609510576697351,5,3,https://cnn.it/3rBjo9y,99,46
17,2022-01-21,https://twitter.com/CNN/status/1484609508848680960,5,1,https://cnn.it/3FRA6pY,17,13
18,2022-01-21,https://twitter.com/CNN/status/1484564469841903619,2,0,https://cnn.it/3IsR13Q,34,15
19,2022-01-21,https://twitter.com/CNN/status/1484534480614440962,2,1,https://cnn.it/3u2Kf19,45,22
20,2022-01-21,https://twitter.com/CNN/status/1484421852923629570,3,0,https://cnn.it/3KxnHLG,81,44
21,2022-01-20,https://twitter.com/CNN/status/1484377925927325698,5,1,https://cnn.it/3tKtTtG,17,13
22,2022-01-20,https://twitter.com/CNN/status/1484327523265617921,5,3,https://cnn.it/3nJlOll,99,46
23,2022-01-20,https://twitter.com/CNN/status/1484316889450835969,2,1,https://cnn.it/3AiOt5z,45,22
24,2022-01-20,https://twitter.com/CNN/status/1484312806665064448,2,0,https://cnn.it/3rBScHB,34,15
25,2022-01-20,https://twitter.com/CNN/status/1484284877184897026,4,3,https://cnn.it/32j5L6f,37,19
26,2022-01-20,https://twitter.com/CNN/status/1484239333167091721,5,2,https://cnn.it/3KmB4y2,50,21
27,2022-01-20,https://twitter.com/CNN/status/1484233679840976899,0,1,https://cnn.it/3KtRNzC,28,12
28,2022-01-20,https://twitter.com/CNN/status/1484214725659484163,5,1,https://cnn.it/3qMeOGj,101,52
29,2022-01-20,https://twitter.com/CNN/status/1484171869586702336,4,1,https://cnn.it/3qL6KFK,24,8
30,2022-01-20,https://twitter.com/CNN/status/1484065914748289025,7,0,https://cnn.it/3rvvIYR,53,22
31,2022-01-19,https://twitter.com/CNN/status/1484011336384356353,3,3,https://cnn.it/3nGrMTO,66,28
32,2022-01-19,https://twitter.com/CNN/status/1484000914407108609,5,1,https://cnn.it/32eFzJO,64,25
33,2022-01-19,https://twitter.com/CNN/status/1483941664603443206,2,6,https://cnn.it/357h9mI,49,30
34,2022-01-19,https://twitter.com/CNN/status/1483937584535556098,4,3,https://cnn.it/3FJCuiw,35,15
35,2022-01-19,https://twitter.com/CNN/status/1483888264515883008,2,3,https://cnn.it/33CWWEK,28,12
36,2022-01-19,https://twitter.com/CNN/status/1483869445181386757,6,3,https://cnn.it/3FDuCPz,101,48
37,2022-01-19,https://twitter.com/CNN/status/1483858057583075329,7,0,https://cnn.it/33sBDGa,53,22
38,2022-01-19,https://twitter.com/CNN/status/1483812772236435459,10,3,https://cnn.it/3tHQlDM,104,53
39,2022-01-19,https://twitter.com/CNN/status/1483790119941423107,7,0,https://cnn.it/3qGAl2Y,53,22
40,2022-01-19,https://twitter.com/CNN/status/1483775005695647745,6,3,https://cnn.it/3qEspzh,101,48
41,2022-01-18,https://twitter.com/CNN/status/1483658006608941056,1,1,https://cnn.it/33tKaIE,40,13
42,2022-01-18,https://twitter.com/CNN/status/1483646323606056964,5,2,https://cnn.it/3FESeUc,27,27
43,2022-01-18,https://twitter.com/CNN/status/1483642208452583430,3,2,https://cnn.it/3tERWtX,51,26
44,2022-01-18,https://twitter.com/CNN/status/1483582506125479939,4,3,https://cnn.it/33nTRbT,84,58
45,2022-01-18,https://twitter.com/CNN/status/1483563646986948610,4,3,https://cnn.it/3fAFtiH,81,49
46,2022-01-18,https://twitter.com/CNN/status/1483529679877427205,3,1,https://cnn.it/3nE1Gkl,63,22
47,2022-01-18,https://twitter.com/CNN/status/1483517823875960835,3,2,https://cnn.it/3fxG84C,51,26
48,2022-01-18,https://twitter.com/CNN/status/1483500702899097606,5,4,https://cnn.it/3qCSxdK,37,23
49,2022-01-18,https://twitter.com/CNN/status/1483481499395633160,5,0,https://cnn.it/3KlPsGK,42,11
50,2022-01-18,https://twitter.com/CNN/status/1483431315500421123,4,3,https://cnn.it/3IeW0Fh,81,49
51,2022-01-18,https://twitter.com/CNN/status/1483401872874614790,6,1,https://cnn.it/3FFtWJs,72,56
52,2022-01-17,https://twitter.com/CNN/status/1483257888021823489,0,1,https://cnn.it/3ryAogG,43,21
53,2022-01-17,https://twitter.com/CNN/status/1483212584958545926,4,2,https://cnn.it/3tBxFWf,26,16
54,2022-01-17,https://twitter.com/CNN/status/1483072900345257986,7,1,https://cnn.it/3qAvJvm,68,32
55,2022-01-17,https://twitter.com/CNN/status/1483057277112393736,2,1,https://cnn.it/33MZfFi,43,21
56,2022-01-17,https://twitter.com/CNN/status/1483020034561695744,1,3,https://cnn.it/3GChNGI,26,16
57,2022-01-15,https://twitter.com/CNN/status/1482216239497940995,2,0,https://cnn.it/3frkPBF,16,8
58,2022-01-14,https://twitter.com/CNN/status/1482170940431740928,7,2,https://cnn.it/34TBWtS,41,22
59,2022-01-14,https://twitter.com/CNN/status/1482102767175012355,2,1,https://cnn.it/3tufLEU,24,17
60,2022-01-14,https://twitter.com/CNN/status/1482098974437908490,5,0,https://cnn.it/33ikkHD,52,17
61,2022-01-14,https://twitter.com/CNN/status/1482016460293779457,2,2,https://cnn.it/3Fr7hjZ,39,21
62,2022-01-14,https://twitter.com/CNN/status/1481964125995548677,2,1,https://cnn.it/3I4dnIR,52,25
63,2022-01-14,https://twitter.com/CNN/status/1481949365849706497,2,1,https://cnn.it/3tomeRG,71,48
64,2022-01-14,https://twitter.com/CNN/status/1481937113046306819,5,0,https://cnn.it/3fo3Lwl,34,11
65,2022-01-14,https://twitter.com/CNN/status/1481898049261735938,0,0,https://cnn.it/33sFFhf,70,36
66,2022-01-13,https://twitter.com/CNN/status/1481817983022469120,1,3,https://cnn.it/3ftQEcR,29,14
67,2022-01-13,https://twitter.com/CNN/status/1481770810025160709,4,3,https://cnn.it/3rkqcIa,44,22
68,2022-01-13,https://twitter.com/CNN/status/1481717730143313920,1,2,https://cnn.it/3qoVfDs,33,16
69,2022-01-13,https://twitter.com/CNN/status/1481653544172228610,1,0,https://cnn.it/3tmlqN1,69,34
70,2022-01-13,https://twitter.com/CNN/status/1481627168706908160,5,2,https://cnn.it/3FrhxZH,68,45
71,2022-01-13,https://twitter.com/CNN/status/1481612020583706631,3,0,https://cnn.it/3nmLfcc,69,34
72,2022-01-13,https://twitter.com/CNN/status/1481604490776219652,1,0,https://cnn.it/3GtaDUY,56,25
73,2022-01-13,https://twitter.com/CNN/status/1481559414897262593,0,0,https://cnn.it/3I5FI1F,27,9
74,2022-01-12,https://twitter.com/CNN/status/1481423511675674628,7,4,https://cnn.it/3K9Q5Da,83,38
75,2022-01-12,https://twitter.com/CNN/status/1481347773542846466,2,2,https://cnn.it/3tkwkCW,53,32
76,2022-01-12,https://twitter.com/CNN/status/1481340273351438339,2,2,https://cnn.it/3K2hkj8,36,19
77,2022-01-12,https://twitter.com/CNN/status/1481250218901487619,0,0,https://cnn.it/3zXURz5,27,9
78,2022-01-12,https://twitter.com/CNN/status/1481234556317483017,5,1,https://cnn.it/33xdzBG,84,53
79,2022-01-12,https://twitter.com/CNN/status/1481223221953368067,2,0,https://cnn.it/33tXD32,38,26
80,2022-01-12,https://twitter.com/CNN/status/1481211902692929536,4,2,https://cnn.it/3GmyhCI,79,30
81,2022-01-12,https://twitter.com/CNN/status/1481204364953989120,7,2,https://cnn.it/3thEE6r,85,47
82,2022-01-12,https://twitter.com/CNN/status/1481194179363491842,2,2,https://cnn.it/3r9nsNN,53,32
83,2022-01-11,https://twitter.com/CNN/status/1481106220484382723,8,1,https://cnn.it/3FevycZ,83,36
84,2022-01-11,https://twitter.com/CNN/status/1481079754044362756,5,2,https://cnn.it/34N1Hfv,48,20
