id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1485758204789284870,1485758204789284870,2022-01-24 18:35:34 Eastern Standard Time,2022-01-24,18:35:34,-0500,1367531,foxnews,Fox News,,"Los Angeles students must wear non-fabric COVID masks at all times, including sports activities, district says  https://t.co/XllDOzClv2",en,[],['https://www.foxnews.com/us/los-angeles-students-must-wear-non-fabric-covid-masks'],[],106,40,87,[],[],https://twitter.com/FoxNews/status/1485758204789284870,False,,0,,,,,,,,[],,,,
1485722566622916610,1485722566622916610,2022-01-24 16:13:57 Eastern Standard Time,2022-01-24,16:13:57,-0500,1367531,foxnews,Fox News,,DEAR DIARY: Left-wing media MELT DOWN over Ex-NYT writer’s COVID remarks  https://t.co/RBANw0M5Gc,en,[],['https://www.foxnews.com/media/cnns-acosta-liberal-media-melt-down-over-bari-weiss-covid-remarks-grow-up'],[],82,43,185,[],[],https://twitter.com/FoxNews/status/1485722566622916610,False,,0,,,,,,,,[],,,,
1485717277274263556,1485717277274263556,2022-01-24 15:52:56 Eastern Standard Time,2022-01-24,15:52:56,-0500,1367531,foxnews,Fox News,,"If omicron increases global immunity, more manageable COVID phase could be next: experts  https://t.co/tYoHXk2xan",en,[],['https://www.foxnews.com/world/omicron-global-immunity-manageable-covid'],[],48,34,125,[],[],https://twitter.com/FoxNews/status/1485717277274263556,False,,0,,,,,,,,[],,,,
1485679665243205633,1485679665243205633,2022-01-24 13:23:29 Eastern Standard Time,2022-01-24,13:23:29,-0500,1367531,foxnews,Fox News,,Sarah Palin defamation trial against New York Times delayed until February after she tests positive for COVID   https://t.co/Bpk1hABMgN,en,[],['https://www.foxnews.com/media/sarah-palin-defamation-trial-new-york-times-delayed-february-positive-covid'],[],101,35,151,[],[],https://twitter.com/FoxNews/status/1485679665243205633,False,,0,,,,,,,,[],,,,
1485515210458865667,1485515210458865667,2022-01-24 02:30:00 Eastern Standard Time,2022-01-24,02:30:00,-0500,1367531,foxnews,Fox News,,COVID-19: Researchers study long-term impact first round of infection had on sense of smell  https://t.co/Nn2EDFQL76,en,[],['https://www.foxnews.com/health/covid-19-researchers-study-long-term-impact-first-round-of-infection-had-on-sense-of-smell'],[],28,20,65,[],[],https://twitter.com/FoxNews/status/1485515210458865667,False,,0,,,,,,,,[],,,,
1485393000612179969,1485393000612179969,2022-01-23 18:24:23 Eastern Standard Time,2022-01-23,18:24:23,-0500,1367531,foxnews,Fox News,,'DRACONIAN LAWS': Protesters march in Biden's backyard against COVID vaccine mandates  https://t.co/zbKXOcZtmA,en,[],['https://www.foxnews.com/politics/washington-dc-defeat-mandates-march-covid-vaccine'],[],150,125,761,[],[],https://twitter.com/FoxNews/status/1485393000612179969,False,,0,,,,,,,,[],,,,
1485367108452208640,1485367108452208640,2022-01-23 16:41:30 Eastern Standard Time,2022-01-23,16:41:30,-0500,1367531,foxnews,Fox News,,"COVID-19 has infected about 20% of Americans, but true percentage likely higher: report  https://t.co/cRF0KugIez",en,[],['https://www.foxnews.com/health/covid-19-infections-twenty-percent-americans-percentage-likely-higher'],[],159,43,172,[],[],https://twitter.com/FoxNews/status/1485367108452208640,False,,0,,,,,,,,[],,,,
1485301270357364741,1485301270357364741,2022-01-23 12:19:53 Eastern Standard Time,2022-01-23,12:19:53,-0500,1367531,foxnews,Fox News,,'TIDE IS TURNING': Clay Travis says Bari Weiss' COVID declaration is having a big impact  https://t.co/yf6lihnixP,en,[],['https://www.foxnews.com/media/clay-travis-bari-weiss-declaration-covid'],[],109,66,343,[],[],https://twitter.com/FoxNews/status/1485301270357364741,False,,0,,,,,,,,[],,,,
1485001827712221185,1485001827712221185,2022-01-22 16:30:00 Eastern Standard Time,2022-01-22,16:30:00,-0500,1367531,foxnews,Fox News,,Chicago alderman demands CPS explain COVID-19 dashboard discrepancy  https://t.co/tV9I2MnwGa,en,[],['https://www.foxnews.com/us/chicago-alderman-demands-cps-explain-covid-19-dashboard-descrepancy'],[],57,18,76,[],[],https://twitter.com/FoxNews/status/1485001827712221185,False,,0,,,,,,,,[],,,,
1484865931620884480,1484865931620884480,2022-01-22 07:30:00 Eastern Standard Time,2022-01-22,07:30:00,-0500,1367531,foxnews,Fox News,,Tom Cruise's 'Mission: Impossible' sequels delayed yet again due to COVID  https://t.co/4N4RNfu0yl,en,[],['https://www.foxnews.com/entertainment/tom-cruise-mission-impossible-sequels-delayed-covid'],[],71,20,84,[],[],https://twitter.com/FoxNews/status/1484865931620884480,False,,0,,,,,,,,[],,,,
1484820635557654529,1484820635557654529,2022-01-22 04:30:00 Eastern Standard Time,2022-01-22,04:30:00,-0500,1367531,foxnews,Fox News,,Missouri AG sues dozens of school districts over COVID-19 mask mandates  https://t.co/NzFVv6S36z,en,[],['https://www.foxnews.com/politics/missouris-ag-sues-school-districts-covid-19-mask-mandates'],[],81,58,519,[],[],https://twitter.com/FoxNews/status/1484820635557654529,False,,0,,,,,,,,[],,,,
1484691226838323202,1484691226838323202,2022-01-21 19:55:47 Eastern Standard Time,2022-01-21,19:55:47,-0500,1367531,foxnews,Fox News,,How Virginia schools used COVID mask mandates to 'thumb their noses' at new Gov. Youngkin  https://t.co/EUd1eCu8FE,en,[],['https://www.foxnews.com/media/virginia-schools-covid-mask-mandates-youngkin'],[],58,26,101,[],[],https://twitter.com/FoxNews/status/1484691226838323202,False,,0,,,,,,,,[],,,,
1484684737834799107,1484684737834799107,2022-01-21 19:30:00 Eastern Standard Time,2022-01-21,19:30:00,-0500,1367531,foxnews,Fox News,,"COVID-19 lingering loss of taste or smell may be explained by genetics, study finds  https://t.co/uOOMeMn9As",en,[],['https://www.foxnews.com/health/covid-19-sequalae-loss-taste-smell-explained-genetics'],[],31,20,64,[],[],https://twitter.com/FoxNews/status/1484684737834799107,False,,0,,,,,,,,[],,,,
1484673412974796800,1484673412974796800,2022-01-21 18:45:00 Eastern Standard Time,2022-01-21,18:45:00,-0500,1367531,foxnews,Fox News,,CDC studies show COVID-19 boosters offer necessary protection against omicron variant  https://t.co/KEfaWIcnPq,en,[],['https://www.foxnews.com/health/cdc-studies-covid-boosters-protection-against-omicron'],[],259,38,134,[],[],https://twitter.com/FoxNews/status/1484673412974796800,False,,0,,,,,,,,[],,,,
1484647968099684353,1484647968099684353,2022-01-21 17:03:53 Eastern Standard Time,2022-01-21,17:03:53,-0500,1367531,foxnews,Fox News,,Missouri AG sues dozens of school districts over COVID-19 mask mandates  https://t.co/NzFVv79Ev9,en,[],['https://www.foxnews.com/politics/missouris-ag-sues-school-districts-covid-19-mask-mandates'],[],59,56,303,[],[],https://twitter.com/FoxNews/status/1484647968099684353,False,,0,,,,,,,,[],,,,
1484628114626039819,1484628114626039819,2022-01-21 15:45:00 Eastern Standard Time,2022-01-21,15:45:00,-0500,1367531,foxnews,Fox News,,"Aaron Rodgers talks COVID vax drama, alleges 'censorship' if opinions don't follow the mainstream  https://t.co/XhT2CViZrp",en,[],['https://www.foxnews.com/sports/aaron-rodgers-covid-vax-censorship-mainstream-opinions'],[],116,87,730,[],[],https://twitter.com/FoxNews/status/1484628114626039819,False,,0,,,,,,,,[],,,,
1484604207059673094,1484604207059673094,2022-01-21 14:10:00 Eastern Standard Time,2022-01-21,14:10:00,-0500,1367531,foxnews,Fox News,,Former Trump COVID adviser Dr. Scott Atlas interviews with House coronavirus subcommittee  https://t.co/ko49SHtw97,en,[],['https://www.foxnews.com/politics/former-trump-covid-adviser-dr-scott-atlas-interviews-house-coronavirus-subcommittee'],[],22,57,197,[],[],https://twitter.com/FoxNews/status/1484604207059673094,False,,0,,,,,,,,[],,,,
