ID,Date,Tweet Link,Negative Words,Positive Words,Attached URL,Negative Words,Positive Words
0,2022-01-24,https://twitter.com/FoxNews/status/1485758204789284870,5,1,https://www.foxnews.com/us/los-angeles-students-must-wear-non-fabric-covid-masks,43,28
1,2022-01-24,https://twitter.com/FoxNews/status/1485722566622916610,1,1,https://www.foxnews.com/media/cnns-acosta-liberal-media-melt-down-over-bari-weiss-covid-remarks-grow-up,71,30
2,2022-01-24,https://twitter.com/FoxNews/status/1485717277274263556,1,4,https://www.foxnews.com/world/omicron-global-immunity-manageable-covid,62,38
3,2022-01-24,https://twitter.com/FoxNews/status/1485679665243205633,3,3,https://www.foxnews.com/media/sarah-palin-defamation-trial-new-york-times-delayed-february-positive-covid,57,30
4,2022-01-24,https://twitter.com/FoxNews/status/1485515210458865667,2,0,https://www.foxnews.com/health/covid-19-researchers-study-long-term-impact-first-round-of-infection-had-on-sense-of-smell,44,20
5,2022-01-23,https://twitter.com/FoxNews/status/1485393000612179969,4,2,https://www.foxnews.com/politics/washington-dc-defeat-mandates-march-covid-vaccine,45,17
6,2022-01-23,https://twitter.com/FoxNews/status/1485367108452208640,2,1,https://www.foxnews.com/health/covid-19-infections-twenty-percent-americans-percentage-likely-higher,40,21
7,2022-01-23,https://twitter.com/FoxNews/status/1485301270357364741,0,0,https://www.foxnews.com/media/clay-travis-bari-weiss-declaration-covid,47,19
8,2022-01-22,https://twitter.com/FoxNews/status/1485001827712221185,1,1,https://www.foxnews.com/us/chicago-alderman-demands-cps-explain-covid-19-dashboard-descrepancy,45,22
9,2022-01-22,https://twitter.com/FoxNews/status/1484865931620884480,4,1,https://www.foxnews.com/entertainment/tom-cruise-mission-impossible-sequels-delayed-covid,41,26
10,2022-01-22,https://twitter.com/FoxNews/status/1484820635557654529,5,0,https://www.foxnews.com/politics/missouris-ag-sues-school-districts-covid-19-mask-mandates,37,18
11,2022-01-21,https://twitter.com/FoxNews/status/1484691226838323202,1,0,https://www.foxnews.com/media/virginia-schools-covid-mask-mandates-youngkin,41,17
12,2022-01-21,https://twitter.com/FoxNews/status/1484684737834799107,2,0,https://www.foxnews.com/health/covid-19-sequalae-loss-taste-smell-explained-genetics,66,22
13,2022-01-21,https://twitter.com/FoxNews/status/1484673412974796800,3,5,https://www.foxnews.com/health/cdc-studies-covid-boosters-protection-against-omicron,39,35
14,2022-01-21,https://twitter.com/FoxNews/status/1484647968099684353,5,0,https://www.foxnews.com/politics/missouris-ag-sues-school-districts-covid-19-mask-mandates,37,18
15,2022-01-21,https://twitter.com/FoxNews/status/1484628114626039819,2,0,https://www.foxnews.com/sports/aaron-rodgers-covid-vax-censorship-mainstream-opinions,55,33
16,2022-01-21,https://twitter.com/FoxNews/status/1484604207059673094,1,1,https://www.foxnews.com/politics/former-trump-covid-adviser-dr-scott-atlas-interviews-house-coronavirus-subcommittee,92,49
17,2022-01-21,https://twitter.com/FoxNews/status/1484522419096281090,5,0,https://www.foxnews.com/health/covid-19-nearly-half-of-virus-hospitalizations-in-massachusetts-are-for-other-issues,49,27
18,2022-01-21,https://twitter.com/FoxNews/status/1484390301544468480,5,0,https://www.foxnews.com/us/covid-detecting-k-9snew-initiative-sniff-out-virus-prevent-outbreaks,48,43
19,2022-01-20,https://twitter.com/FoxNews/status/1484358294734979075,0,0,https://www.foxnews.com/health/yale-researcher-teams-develops-wearable-clip-to-detect-covid,30,18
20,2022-01-20,https://twitter.com/FoxNews/status/1484352816487358465,4,0,https://www.foxnews.com/entertainment/adele-tearfully-postpones-las-vegas-residency-over-covid-complications-weve-been-absolutely-destroyed,44,31
21,2022-01-20,https://twitter.com/FoxNews/status/1484344999814877186,5,2,https://www.foxnews.com/us/dc-wont-require-covid-vaccination-proof-for-entertainers-but-will-impose-restriction-for-their-patrons,36,16
22,2022-01-20,https://twitter.com/FoxNews/status/1484211773133799431,2,2,https://www.foxnews.com/us/covid-hospital-systems-resources-wait-times,46,22
23,2022-01-19,https://twitter.com/FoxNews/status/1484000873487511556,0,2,https://www.foxnews.com/politics/vaccinated-and-boosted-democratic-congressman-tests-positive-for-covid-19,46,36
24,2022-01-19,https://twitter.com/FoxNews/status/1483999724147404803,6,1
25,2022-01-19,https://twitter.com/FoxNews/status/1483993094932598788,2,0,https://www.foxnews.com/politics/biden-admits-administration-fell-short-on-covid-19-testing,53,31
26,2022-01-19,https://twitter.com/FoxNews/status/1483967517143932928,4,0,https://www.foxnews.com/media/covid-hysteria-turned-howard-stern-into-exactly-the-person-he-spent-decades-mocking,37,25
27,2022-01-19,https://twitter.com/FoxNews/status/1483939036515422211,5,0,https://www.foxnews.com/us/brianna-kupfer-covid-19-shawn-laval-smith-charleston-flare-gun,83,33
28,2022-01-19,https://twitter.com/FoxNews/status/1483932279806128135,0,1,https://www.foxnews.com/politics/arizona-ag-warns-biden-admin-of-legal-action-if-funds-are-withheld-over-covid-19-policy,42,29
29,2022-01-19,https://twitter.com/FoxNews/status/1483926420439146497,8,0,https://www.foxnews.com/world/uk-considering-ending-covid-restrictions-johnson-faces-revolt,63,30
30,2022-01-19,https://twitter.com/FoxNews/status/1483884464522469377,0,3,https://www.foxnews.com/health/who-no-evidence-covid-boosters-needed-healthy-children-young-adults,33,22
31,2022-01-19,https://twitter.com/FoxNews/status/1483785928556662796,3,2,https://www.foxnews.com/politics/biden-inauguration-anniversary-one-year-coronavirus-vaccines-cases,63,47
32,2022-01-19,https://twitter.com/FoxNews/status/1483741022689529856,2,1,https://www.foxnews.com/us/man-fighting-covid-minnesota-texas-facility-ventilator-lawsuit-hospital,51,26
33,2022-01-18,https://twitter.com/FoxNews/status/1483625256807895040,1,2,https://www.foxnews.com/politics/gop-lawmakers-fda-answers-pfizer-booster-children,58,32
34,2022-01-18,https://twitter.com/FoxNews/status/1483584991137304582,5,4,https://www.foxnews.com/sports/clay-travis-vax-nhl-nfl-covid-free,34,23
35,2022-01-18,https://twitter.com/FoxNews/status/1483549759163887616,4,2,https://www.foxnews.com/politics/whitmers-top-doc-downplays-covid-nursing-home-deaths-tough-decisions-have-to-be-made,69,35
